manager_id,first_name,last_name,phone_number,years_experience,hospital_branch,email,password
IM001,Karen,Taylor,3378949781,11,Westside Clinic,im.karen.taylor@hospital.com,COvF0E1ekz
IM002,Christopher,Martin,6712619231,4,Eastside Clinic,im.christopher.martin@hospital.com,QSI3vbFAbA
IM003,Daniel,Moore,3323522597,19,Central Hospital,im.daniel.moore@hospital.com,aw5mlYnCB7
IM004,Margaret,Anderson,2278649614,7,Eastside Clinic,im.margaret.anderson@hospital.com,lChBBwxlQv
IM005,Karen,Thomas,4701617650,17,Westside Clinic,im.karen.thomas@hospital.com,pfJk9YadaX
IM006,Betty,Martin,0782580089,9,South Medical,im.betty.martin@hospital.com,DvTH0I9dJJ
IM007,Mark,Martin,0603397985,20,Central Hospital,im.mark.martin@hospital.com,tOykCNRnkB
IM008,Matthew,Lopez,4005222260,10,Westside Clinic,im.matthew.lopez@hospital.com,N2eLu6inHd
IM009,Nancy,Martin,3436840110,2,Westside Clinic,im.nancy.martin@hospital.com,jJBq4GhhP7
IM010,Karen,Anderson,7712502881,19,Westside Clinic,im.karen.anderson@hospital.com,znyl232EGD
