pharmacist_id,first_name,last_name,specialization,hospital_branch,email,password
PH001,Elizabeth,Miller,Pharmacy,Westside Clinic,ph.elizabeth.miller@hospital.com,qeny5a9kqT
PH002,Patricia,Miller,Pharmacy,Westside Clinic,ph.patricia.miller@hospital.com,1XARTLDGLc
PH003,Michael,Garcia,Pharmacy,North Pharmacy,ph.michael.garcia@hospital.com,k5BeSc6Bxt
PH004,Linda,Brown,Pharmacy,North Pharmacy,ph.linda.brown@hospital.com,cxcAJ4r842
PH005,John,Johnson,Pharmacy,Central Hospital,ph.john.johnson@hospital.com,sDb0Iqg7ct
PH006,William,Brown,Pharmacy,North Pharmacy,ph.william.brown@hospital.com,lqfw8tMMZD
PH007,Mary,Brown,Pharmacy,South Medical,ph.mary.brown@hospital.com,dYOTqTyFU9
PH008,Elizabeth,Miller,Pharmacy,South Medical,ph.elizabeth.miller@hospital.com,nRn4tqDGQc
PH009,Robert,Jones,Pharmacy,Eastside Clinic,ph.robert.jones@hospital.com,TMixyDK0Qx
PH010,James,Johnson,Pharmacy,North Pharmacy,ph.james.johnson@hospital.com,3s1D7NT0i2
